"iid","gender","wave","pid","match","samerace","age_part","race_part","pref_part_att","pref_part_sin","pre_part_int","pre_part_fun","pre_part_amb","pre_part_sha","dec_part","part_att","part_sin","part_int","part_fun","part_amb","part_sha","part_lik","part_prob","part_met","age_self"
1,0,1,11,0,0,27,2,35,20,20,20,0,5,0,6,8,8,8,8,6,7,4,2,21
1,0,1,12,0,0,22,2,60,0,0,40,0,0,0,7,8,10,7,7,5,8,4,2,21
1,0,1,13,1,1,22,4,19,18,19,18,14,12,1,10,10,10,10,10,10,10,10,1,21
1,0,1,14,1,0,23,2,30,5,15,40,5,5,1,7,8,9,8,9,8,7,7,2,21
1,0,1,15,1,0,24,3,30,10,20,10,10,20,1,8,7,9,6,9,7,8,6,2,21
1,0,1,16,0,0,25,2,50,0,30,10,0,10,1,7,7,8,8,7,7,7,6,2,21
1,0,1,17,0,0,30,2,35,15,25,10,5,10,0,3,6,7,5,8,7,2,1,2,21
1,0,1,18,0,0,27,2,33.33,11.11,11.11,11.11,11.11,22.22,0,6,7,5,6,8,6,7,5,2,21
1,0,1,19,1,0,28,2,50,0,25,10,0,15,1,7,7,8,8,8,9,6.5,8,2,21
1,0,1,20,0,0,24,2,100,0,0,0,0,0,0,6,6,6,6,6,6,6,6,2,21
2,0,1,11,0,1,27,2,35,20,20,20,0,5,0,8,7,6,9,7,4,7,2,2,24
2,0,1,12,0,1,22,2,60,0,0,40,0,0,0,7,6,10,6,6,5,8,4,2,24
2,0,1,13,0,0,22,4,19,18,19,18,14,12,1,10,10,10,10,10,10,10,10,2,24
2,0,1,14,1,1,23,2,30,5,15,40,5,5,1,9,9,9,9,9,9,9,7,2,24
2,0,1,15,0,0,24,3,30,10,20,10,10,20,1,10,10,10,10,7,8,10,1,1,24
2,0,1,16,0,1,25,2,50,0,30,10,0,10,1,7,8,7,5,7,7,7,5,2,24
2,0,1,17,0,1,30,2,35,15,25,10,5,10,0,5,3,4,3,5,3,4,3,2,24
2,0,1,18,0,1,27,2,33.33,11.11,11.11,11.11,11.11,22.22,1,7,7,7,7,7,5,7,6,2,24
2,0,1,19,1,1,28,2,50,0,25,10,0,15,1,8,6,9,9,8,7,8,8,2,24
2,0,1,20,0,1,24,2,100,0,0,0,0,0,0,6,5,7,7,9,7,6,9,2,24
3,0,1,11,0,1,27,2,35,20,20,20,0,5,0,7,8,6,5,8,4,5,2,1,25
3,0,1,12,0,1,22,2,60,0,0,40,0,0,0,6,7,10,6,6,5,7,3,2,25
3,0,1,13,0,0,22,4,19,18,19,18,14,12,1,10,10,10,10,10,10,10,10,2,25
3,0,1,14,0,1,23,2,30,5,15,40,5,5,1,7,9,8,8,8,8,7,7,2,25
3,0,1,15,0,0,24,3,30,10,20,10,10,20,1,6,10,8,6,NA,NA,6,1,2,25
3,0,1,16,0,1,25,2,50,0,30,10,0,10,1,7,6,6,6,6,6,6,7,2,25
3,0,1,17,0,1,30,2,35,15,25,10,5,10,0,6,3,5,4,5,4,2,2,2,25
3,0,1,18,0,1,27,2,33.33,11.11,11.11,11.11,11.11,22.22,0,4,5,6,4,6,4,5,1,2,25
3,0,1,19,0,1,28,2,50,0,25,10,0,15,1,7,7,6,8,7,7,7,7,2,25
