raw_col,new_col,ind,pair
iid,iid,1,1
gender,gender,1,0
wave,wave,1,0
pid,pid,1,1
match,match,1,0
samerace,samerace,1,0
age_o,age_part,0,1
race_o,race_part,0,1
pf_o_att,pref_part_att,0,1
pf_o_sin,pref_part_sin,0,1
pf_o_int,pre_part_int,0,1
pf_o_fun,pre_part_fun,0,1
pf_o_amb,pre_part_amb,0,1
pf_o_sha,pre_part_sha,0,1
dec_o,dec_part,0,1
attr_o,part_att,0,1
sinc_o,part_sin,0,1
intel_o,part_int,0,1
fun_o,part_fun,0,1
amb_o,part_amb,0,1
shar_o,part_sha,0,1
like_o,part_lik,0,1
prob_o,part_prob,0,1
met_o,part_met,0,1
age,age_self,1,1
